date,meal,item_name,description,price,dietary_tags
2026-01-29,Dinner,Roasted Chicken with Orange Apricot Glaze,"Orange apricot glazed chicken with roasted cauliflower, carrots, and green beans, rice pilaf",9.00,Made without Gluten-Containing Ingredients
2026-01-29,Dinner,Roasted Tempeh with Orange Apricot Glaze,"Orange apricot glazed tempeh with roasted  cauliflower, carrots, and green beans, rice pilaf",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-01-30,Dinner,Fish and Chips,"Beer battered Pollock filet served over deep fried potato wedges with tartar sauce, coleslaw, and lemon wedge",9.00,
2026-01-30,Dinner,Fried Tofu & Chips,"Fried tofu, potato wedges, coleslaw, tartar sauce, lemon wedge",9.00,Vegan
2026-01-30,Dinner,Tomato Braised Beef,"Tomato herb braised beef, olive, onions and peppers, brown rice quinoa pilaf with spinach and marinated red onions",9.25,Made without Gluten-Containing Ingredients
2026-01-30,Dinner,Tomato Braised Tempeh,"Tomato herb braised tempeh, olives, onions and peppers, brown rice quinoa pilaf with spinach and marinated red onions",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-01-31,Dinner,Campfire farms Bratwurst Sausage,"Roasted pork bratwurst, piperade, herb polenta and arugula salad lemon vinaigrette",9.00,"Made without Gluten-Containing Ingredients, Farm to Fork"
2026-01-31,Dinner,Beyond Sausage,"Roasted Beyond bratwurst, piperade, herb polenta and arugula salad with lemon vinaigrette",8.75,"Vegetarian, Made without Gluten-Containing Ingredients, Farm to Fork"
2026-01-31,Dinner,Chicken and Grain Bowl,"Roasted Chicken breast, wild rice, brown rice, with sorghum, asparagus and leeks. Served with tomato, shred carrots, mixed greens, citrus dressing",9.00,"Made without Gluten-Containing Ingredients, Farm to Fork"
2026-01-31,Dinner,Garbanzo and Mushroom Grain Bowl,"Garbanzo and portobello mushroom with wild rice, brown rice, sorghum, asparagus and leeks. Served with tomato, shred carrots, mixed greens, citrus dressing",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-01,Dinner,Garlic Tomato Chicken & Shrimp,"Grilled chicken breast and shrimp over saffron rice and peas, paprika tomato and pepper sauce with sauteed greens",9.25,
2026-02-01,Dinner,Roast Beef and Smashed Potatoes,"Spiced garlic roast beef, smashed red potatoes, roasted green beans, radish and onion,with herb and garlic vinaigrette and parsley",9.25,Made without Gluten-Containing Ingredients
2026-02-01,Dinner,Marinated Portobello and Smashed Potatoes,"Grilled portobello, smashed red potatoes, roasted green beans, radish and onion,with herb and garlic vinaigrette and parsley",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-02,Dinner,Spaghetti and Impossible Meatballs,"Impossible meatballs, spaghetti, marinara sauce, garden salad, Italian vinaigrette",8.75,Vegan
2026-02-02,Dinner,Made without Gluten Pasta Available,,,Made without Gluten-Containing Ingredients
2026-02-02,Dinner,Pasta with Beef Sauce,"Pasta, beef tomato sauce, garden salad with Italian vinaigrette",9.00,Beef Swap
2026-02-02,Dinner,Lemon Chicken over Cauliflower Rice,"Roasted chicken thigh marinated in lemon and garlic over rice with cauliflower, caramelized onion, & fresh herbs, spinach cucumber salad with herb vinaigrette",9.00,"Made without Gluten-Containing Ingredients, In Balance"
2026-02-02,Dinner,Black Bean Cakes,"Roasted chickpea and black bean cake, over rice with cauliflower, caramelized onion, & fresh herbs, spinach cucumber salad and herb vinaigrette",8.75,"Vegan, Made without Gluten-Containing Ingredients, In Balance"
2026-02-03,Dinner,Pozole Verde De Pollo,"Braised chicken, hominy, poblano and tomatillo stew served with sliced radishes, diced onions, lime wedge, tortilla strips",9.00,
2026-02-03,Dinner,Vegetable Pozole,"Hominy, pinto beans, mushroom, onions, poblano and tomatillo stew served with sliced radishes, diced onions, lime wedge, tortilla strips",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-03,Dinner,Ancho Braised Beef with Cowboy Beans and Corn,"Beef, ancho, onion, garlic, smoked kidney beans, brown rice, roasted corn with peppers and onions, cilantro",9.25,Made without Gluten-Containing Ingredients
2026-02-03,Dinner,Smoked Mushrooms with Cowboy Beans,"Mushroom ancho, onion, garlic, smoked kidney beans, brown rice, roasted corn with peppers and onions, cilantro",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-04,Dinner,Smoked Pork Spare Ribs,"Smoked pork spare ribs, coleslaw, ranch macaroni salad, baked beans, braised greens, barbecue sauce",9.00,"Made without Gluten-Containing Ingredients, Farm to Fork"
2026-02-04,Dinner,Smoked Tofu,"Smoked tofu, coleslaw, ranch macaroni salad, baked beans, braised greens, barbecue sauce",8.75,"Vegetarian, Made without Gluten-Containing Ingredients, Farm to Fork"
2026-02-04,Dinner,Blackened Chicken over Dirty Rice,"Blackened chicken, dirty rice, bell pepper, celery, garlic, green onion, broccoli slaw, red pepper sauce",9.00,Made without Gluten-Containing Ingredients
2026-02-04,Dinner,Creole Mushrooms over Dirty Rice,"Creole mushrooms, dirty rice, bell pepper, celery, garlic, green onion, broccoli slaw, red pepper sauce",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-05,Dinner,Moroccan-Style Chicken over Pearl CousCous,"Spiced chicken breast, pearl couscous with grilled zucchini, yellow squash, red onion, and carrots with cucumber salad and yogurt sauce",9.00,
2026-02-05,Dinner,Moroccan-Style Tofu over Pearl CousCous,"Spiced tofu, pearl couscous with grilled zucchini, yellow squash, red onion, and carrots with cucumber salad and yogurt sauce",8.75,Vegetarian
2026-02-05,Dinner,Chicken with Potatoes and Apple salad,"Chicken Breast, oregano, garlic, fingerling potato with paprika oil,  spinach, red onion and apple salad, sweet apple cider vinaigrette, smoked paprika pepitas",9.00,Made without Gluten-Containing Ingredients
2026-02-05,Dinner,Mushrooms with Potatoes,"Portobello mushroom, oregano, garlic, fingerling potato with paprika oil,  spinach, red onion and apple salad, sweet apple cider vinaigrette, smoked paprika pepitas",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-06,Dinner,Fish and Chips,"Beer battered Pollock filet served over deep fried potato wedges with tartar sauce, coleslaw, and lemon wedge",9.00,
2026-02-06,Dinner,Fried Tofu & Chips,"Fried tofu, potato wedges, coleslaw, tartar sauce, lemon wedge",9.00,Vegan
2026-02-06,Dinner,Guajillo Braised Beef Burrito Bowl,"Braised beef, pinto beans, cilantro, corn, tomatoes salsas, Spanish rice, lettuce, salsa verde, corn tortilla chips",9.25,Made without Gluten-Containing Ingredients
2026-02-06,Dinner,Guajillo Braised Tempeh Burrito Bowl,"Braised tempeh, pinto beans, cilantro, corn tomatoes salas, Spanish rice, lettuce, salsa verde, corn tortilla chips",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-07,Dinner,Smoked Bratwurst or Andouille Sausage,"Bratwurst sausage or Andouille sausage, German potato salad with boiled red and purple potatoes, lemon zest, olive oil, shallots, herbs and garlic, sautéed carrots with cabbage, pickled radish and red onion, creamy mustard sauce, mustard sauce<br />Extra Sausage $4.00",9.00,"Made without Gluten-Containing Ingredients, Farm to Fork"
2026-02-07,Dinner,Beyond Sausage with German Potato Salad,"Beyond sausage, German potato salad with boiled red and purple potatoes, lemon zest, olive oil, shallots, herbs and garlic, sautéed carrots with cabbage, pickled radish and red onion, creamy mustard sauce, mustard sauce<br />Extra Sausage $4.00",8.75,"Vegetarian, Made without Gluten-Containing Ingredients"
2026-02-07,Dinner,Spanish Braised Chicken Thigh,"Garlic braised chicken with tomatoes, brown rice and quinoa and parsley, peppers and olives, basil, oregano, onions, lemon wedge, olive oil",9.00,Made without Gluten-Containing Ingredients
2026-02-07,Dinner,Stewed White Beans with Fall Squash,"Stewed white beans with tomatoes, peppers and olives, oregano, and roasted delicata, mushroom and kale   brown rice, quinoa and parsley, onions, lemon wedge, olive oil",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-08,Dinner,Wasabi Salmon,"Wasabi salmon served with coconut herb rice, roast turnips and carrots, cucumber salad and a ginger soy sauce",9.25,Made without Gluten-Containing Ingredients
2026-02-08,Dinner,Wasabi Tofu,"Wasabi tofu served with coconut herb rice, miso roast turnips and carrots, cucumber salad and a ginger soy sauce",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-08,Dinner,Roasted Turkey and Smashed Potatoes,"Turkey breast, garlic and herb smashed potatoes, steamed carrots and peas, with herb vinaigrette",9.00,Made without Gluten-Containing Ingredients
2026-02-08,Dinner,Stuffed Peppers with Smashed Potatoes,"Peppers stuffed with rice and vegetables, garlic and herb smashed potatoes, steamed carrots and peas, herb vinaigrette",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-09,Dinner,Paprika Braised Beef with Polenta,"Paprika braised beef, onion and mushroom stew served over olive oil polenta with sauteed kale and collard greens",9.25,"Made without Gluten-Containing Ingredients, Farm to Fork"
2026-02-09,Dinner,Paprika Braised Mushrooms over Polenta,"Braised oyster, shiitake, and crimini mushrooms  served over olive oil polenta with sauteed kale and swiss chard",8.75,"Vegan, Made without Gluten-Containing Ingredients, Farm to Fork"
2026-02-10,Dinner,Chicken Fajita Plate,"Achiote seasoned chicken thigh sautéed with peppers and onions served with Spanish rice, refried beans, cheddar cheese and corn tortillas",9.00,
2026-02-10,Dinner,Mushroom Fajita Plate,"Achiote seasoned mushrooms sautéed with peppers and onions served with Spanish rice, refried beans, cheddar cheese and corn tortillas",8.75,"Vegetarian, Vegan"
2026-02-10,Dinner,Tamarind Beef Curry with Mashed Potatoes,"Tamarind beef curry with stewed green bean, tomato, and onion curry, mashed potato with peas, chopped cilantro",9.25,Made without Gluten-Containing Ingredients
2026-02-10,Dinner,Tamarind Chickpea with Mashed Potatoes,"Tamarind chickpea with stewed green bean, tomato, and onion curry, mashed potato with peas, chopped cilantro",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-11,Dinner,Smoked Barbecue Chicken,"Smoked chicken served with kohlrabi and cabbage slaw, barbecue red beans, creamed corn, Carolina style barbecue sauce",9.00,
2026-02-11,Dinner,Smoked Tofu,"Smoked tofu sausage with kohlrabi and cabbage slaw, barbecue red beans, creamed corn, and Carolina style barbecue sauce",8.75,Vegetarian
2026-02-11,Dinner,Pomodoro Braised Pork,"Tomato braised pork, herb risotto, roasted squash, zucchini, red onions and cabbage, shaved fennel, Italian vinaigrette",9.00,Made without Gluten-Containing Ingredients
2026-02-11,Dinner,Pomodoro Braised Lentils,"Tomato braised lentils, herb risotto, roasted squash, zucchini, red onions and cabbage, shaved fennel, Italian vinaigrette",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-12,Dinner,Pork Chile Verde,"Braised pork in green chile and tomatillo stew, white rice, roasted tomatoes and cabbage",9.00,Made without Gluten-Containing Ingredients
2026-02-12,Dinner,Tofu Chile Verde,"Fried Tofu in green chile and tomatillo stew, white rice, roasted tomatoes and cabbage",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-13,Dinner,Fish and Chips,"Beer battered Pollock filet served over deep fried potato wedges with tartar sauce, coleslaw, and lemon wedge",9.00,Seafood Watch
2026-02-13,Dinner,Fried Tofu & Chips,"Fried tofu, potato wedges, coleslaw, tartar sauce, lemon wedge",9.00,Vegan
2026-02-13,Dinner,Pork Chop with Apple Slaw,"Pork chop, herbed quinoa, apple carrot slaw with raisins and apple cider dressing, roasted winter squash and onions",9.00,"Made without Gluten-Containing Ingredients, Farm to Fork"
2026-02-13,Dinner,Roasted Mushroom and Chickpea Cakes,"Mushroom and chickpea cake, herbed quinoa, apple carrot slaw with raisin and apple cider dressing, roasted winter squash and onions",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-14,Dinner,Chipotle Rubbed Beef Eye Round,"Roasted beef eye round with roasted herb potatoes and roasted cauliflower puree, mushrooms and sweet peppers, tomato chipotle sauce, salad with lemon vinaigrette",9.25,"Made without Gluten-Containing Ingredients, Farm to Fork"
2026-02-14,Dinner,Roasted Beyond Meat Sausage,"Beyond meat sausage with roasted herb potatoes and roasted cauliflower puree, mushrooms and sweet peppers, tomato chipotle sauce, salad with lemon vinaigrette",8.75,"Vegan, Made without Gluten-Containing Ingredients, Farm to Fork"
2026-02-14,Dinner,Herb Chicken over Spiced Quinoa and Lentils,"Roasted chicken thigh, herbed quinoa, spiced lentils, tomato and cucumber salad, sumac onions, cilantro relish",9.00,
2026-02-14,Dinner,Roasted Tempeh over Over Herbed Quinoa,"Roasted Lentil tempeh, herbed quinoa salad, spiced lentils, tomato and cucumber salad, sumac onions cilantro relish",8.75,
2026-02-15,Dinner,Garlic Roasted Lamb,"Yogurt, Lamb shoulder served over cous cous with root vegetables, cabbage slaw with lemon dressing with harissa sauce",9.25,
2026-02-15,Dinner,Harissa Roasted Chik'n,"Roasted Harissa Chick'n served over cous cous with root vegetables, cabbage slaw with lemon dressing with harissa sauce",8.75,"Vegetarian, Vegan"
2026-02-15,Dinner,Roasted Chicken Quarters with Artichoke Mustard Sauce,"Roasted Bone-in Chicken, Russet potatoes wedges, artichoke mustard sauce, garlic green beans and brussel sprouts,",9.25,Made without Gluten-Containing Ingredients
2026-02-15,Dinner,Sweet and Spicy Roasted Tempeh,"Roasted Bone-in Chicken, russet potatoes wedges, artichoke mustard sauce, garlic green beans and brussel sprouts,",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-16,Dinner,Pork Sugo over Egg Noodles,"Braised pork with tomato sauce served over egg noodles with a garden side salad, balsamic vinaigrette, and garlic bread",9.00,Farm to Fork
2026-02-16,Dinner,Beyond Sugo over Egg Noodles,"Beyond Meat with tomato sauce served over egg noodles with a garden side salad, balsamic vinaigrette, and garlic bread",8.75,Vegetarian
2026-02-16,Dinner,Beef Goulash,"Braised beef shoulder in onions and paprika served over mashed potatoes and a carrot, arugula and dill salad with whole grain mustard dressing",9.25,Made without Gluten-Containing Ingredients
2026-02-16,Dinner,Lentil Tempeh Goulash,"Braised lentil tempeh in onions and paprika served mashed potatoes and a carrot, arugula and dill salad with whole grain mustard dressing",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-17,Dinner,Sesame Almond Turkey Mole,"Turkey breast, sesame seeds, almonds, chile chocolate sauce, rice, marinated cabbage, cotija, corn tortillas",9.00,Made without Gluten-Containing Ingredients
2026-02-17,Dinner,Sesame Almond Tofu Mole,"Tofu, sesame seeds, almonds, chile chocolate sauce, rice, marinated cabbage,  corn tortillas",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-17,Dinner,Seared Chicken with Pear Chutney,"Seared chicken, green beans, butternut squash, pear chutney, and brown rice",9.00,Made without Gluten-Containing Ingredients
2026-02-17,Dinner,Seared Tempeh with Pear Chutney,"Seared tempeh, green beans, butternut squash, pear chutney and brown rice",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-18,Dinner,Smoked Barbecue Brisket,"Smoke brisket, corn on the cob, baked beans, potato salad, pickles, white bread, barbecue sauce",9.25,
2026-02-18,Dinner,Smoked Barbecue Beyond Sausage,"Smoked beyond sausage, corn on the cob, baked beans, potato salad, pickles, white bread, barbecue sauce",8.75,Vegetarian
2026-02-18,Dinner,Spiced Roast Chicken with Peas,"Spiced roast chicken thigh, baked Delicata squash, tomatoes, red onions tossed with spinach, pomegranate red wine vinaigrette, basmati rice with parsley, and peas.",9.00,Made without Gluten-Containing Ingredients
2026-02-18,Dinner,Spiced Roasted Chickpeas and Tempeh,"Spiced roasted chickpeas & tempeh, baked Delicata squash, tomatoes, red onions tossed with spinach, pomegranate red wine vinaigrette, basmati rice with parsley, and peas.",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-19,Dinner,Butter Chicken Masala,"Chicken stewed in spiced creamy tomato sauce, basmati rice, curry spiced peas, onions, peppers, cilantro, yogurt sauce and flat bread",9.00,
2026-02-19,Dinner,Butter Tofu Masala,"Tofu stewed in spiced tomato sauce, basmati rice, curry spiced peas, onions, peppers, cilantro, and flatbread",8.75,Vegetarian
2026-02-19,Dinner,Seared Pork Chop over Polenta,"Seared pork chop, roasted peppers, onions, squash, and broccoli, polenta, and a sweet apple cranberry sauce",9.00,"Made without Gluten-Containing Ingredients, Farm to Fork"
2026-02-19,Dinner,Seared Yams over Polenta,"Seared sweet potato coins, roasted peppers, onions, squash, and broccoli, polenta, and a sweet apple cranberry sauce",8.75,"Vegan, Made without Gluten-Containing Ingredients, Farm to Fork"
2026-02-20,Dinner,Fish and Chips,"Beer battered Pollock filet served over deep fried potato wedges with tartar sauce, coleslaw, and lemon wedge",9.00,Seafood Watch
2026-02-20,Dinner,Battered Soy Chicken Strips & Chips,"Fried Gardien chicken strips, potato wedges, coleslaw, tartar sauce, lemon wedge",9.00,Vegan
2026-02-20,Dinner,Turmeric Spiced Chicken,"Turmeric spiced chicken thigh, butternut squash and sweet peppers, wild rice pilaf, and a carrot salad",9.00,"Made without Gluten-Containing Ingredients, Farm to Fork"
2026-02-20,Dinner,Turmeric Spiced Chickpea Tempeh Cake,"Turmeric spiced chickpea tempeh cake, butternut squash and sweet peppers, wild rice pilaf, and a carrot salad",9.00,"Vegan, Made without Gluten-Containing Ingredients, Farm to Fork"
2026-02-21,Dinner,Pork Sausage Neapolitan,"Italian pork sausage, spaghetti noodles, sweet and spicy tomato sauce with roasted mushrooms, peppers and onions",9.00,Farm to Fork
2026-02-21,Dinner,Beyond Meat Sausage Neapolitan,"Grilled beyond meat sausage, spaghetti noodles, arrabiata sauce with roasted mushrooms, peppers, onions",8.75,Vegan
2026-02-21,Dinner,Lemon Roasted  Chicken Breast,"Lemon roasted chicken breast, smashed golden potatoes, roasted peppers and tomatoes with lemon dill vinaigrette",9.00,"Made without Gluten-Containing Ingredients, Farm to Fork"
2026-02-21,Dinner,Lemon Roasted Portobello Mushroom,"Roasted portobello mushroom, smashed golden potatoes, roasted peppers and tomatoes with lemon and dill vinaigrette",8.75,"Vegan, Made without Gluten-Containing Ingredients, Farm to Fork"
2026-02-22,Dinner,Seared Cod Over Mushroom Risotto,"Seared cod served over mushroom risotto roasted delicata squash, peppers, and grape tomatoes drizzled with a beurre blanc sauce",9.00,"Made without Gluten-Containing Ingredients, Farm to Fork"
2026-02-22,Dinner,Seared Tofu over Mushroom Risotto,"Seared tofu served over mushroom risotto, roasted delicata squash, peppers and grape tomatoes drizzled with a beurre blanc sauce",8.75,"Vegetarian, Made without Gluten-Containing Ingredients"
2026-02-22,Dinner,Chipotle Chicken Bowl,"Roasted chipotle chicken, brown rice and black beans, served with shredded kale, carrots and lime vinaigrette",9.00,Made without Gluten-Containing Ingredients
2026-02-22,Dinner,Chickpea Tempeh Bowl,"Roasted chipotle chickpea, brown rice and black beans, served with shredded kale, carrots and lime vinaigrette",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-23,Dinner,Chicken with Sunflower Seed Pesto Pasta,"Herb chicken breast, sunflower seed pesto cream sauce, cavatappi pasta, garlic bread, garden salad with Italian vinaigrette",9.00,
2026-02-23,Dinner,Gardein Chik'n with Sunflower Seed Pesto,"Vegan chik'n, sunflower seed pesto cream sauce, cavatappi pasta, garlic bread, garden salad with Italian vinaigrette",8.75,Vegetarian
2026-02-23,Dinner,Lemon Chicken and Cauliflower,"Roasted chicken, mashed cauliflower, potatoes and roasted garlic served with roasted zucchini and squash topped dill lemon sauce",9.00,Made without Gluten-Containing Ingredients
2026-02-23,Dinner,Citrus Lentil Tempeh,"Citrus green lentil tempeh, mashed cauliflower, potatoes, roasted garlic served with roasted zucchini and squash topped dill lemon sauce",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-24,Dinner,Chipotle Fish Taco Bowl,"Chipotle roasted cod, black beans, cilantro rice, shredded cabbage, cotija, sour cream, corn salsa, corn tortilla chips",9.25,"Made without Gluten-Containing Ingredients, Seafood Watch"
2026-02-24,Dinner,Chipotle Black Beans,"Chipotle black beans, cilantro rice, shredded cabbage, cotija, sour cream, corn salsa, corn tortilla chips",8.75,"Vegetarian, Made without Gluten-Containing Ingredients"
2026-02-24,Dinner,Tuscan Roast Beef,"Roasted beef tri-tip, smashed gold potato, roasted squash, carrots, and peppers with spinach, red pepper sauce, parsley",9.25,Made without Gluten-Containing Ingredients
2026-02-24,Dinner,Marinated Portobello,"Marinated portobello mushrooms, smashed gold potato, roasted squash, carrots, and peppers with spinach,  allspice red pepper sauce, parsley",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-25,Dinner,Fried Chicken & Mashed Potatoes,"Tempura fried chicken, mashed potatoes, country gravy, broccoli",9.00,
2026-02-25,Dinner,Fried tofu,"Tempura fried Tofu, mashed potatoes, country gravy, broccoli",8.75,Vegetarian
2026-02-25,Dinner,Mojo Style Chicken with Pineapple Salsa,"Mojo style chicken thigh with pineapple salsa, white rice and red beans, citrus slaw, lime wedge, pickled red onion",9.00,Made without Gluten-Containing Ingredients
2026-02-25,Dinner,Tempeh with Pineapple Salsa,"Mojo style seared tempeh with pineapple salsa, white rice and red beans, citrus slaw, lime wedge, pickled red onion",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-26,Dinner,Santa Maria Style Tri-Tip with Salsa,"Seared and smoked beef, corn and black bean salsa, baby kale, tomato, sunflower seeds, cilantro salad, and a paprika raisin dressing, chopped cilantro",9.25,Made without Gluten-Containing Ingredients
2026-02-26,Dinner,Smoked Mushrooms with Green Chiles,"Smoked mushrooms with green chiles, corn and black bean salsa, baby kale, tomato, sunflower seeds, cilantro, and a paprika raisin dressing, chopped cilantro",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-27,Dinner,Fish and Chips,"Beer battered Pollock filet served over deep fried potato wedges with tartar sauce, coleslaw, and lemon wedge",9.00,Seafood Watch
2026-02-27,Dinner,Fried Tofu & Chips,"Fried tofu, potato wedges, coleslaw, tartar sauce, lemon wedge",9.00,Vegan
2026-02-27,Dinner,Beef Brisket over Vegetable Quinoa,"Smoked beef brisket, quinoa with kale, bell pepper, tomato, celery, red onion, served with steak sauce",9.25,Made without Gluten-Containing Ingredients
2026-02-27,Dinner,Chickpea over Vegetable Quinoa,"Chickpea, quinoa with kale, bell pepper, tomato, celery, carrots, red onion, and steak sauce",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-02-28,Dinner,Smoked Sausage Plate,"Campfire Farms bratwurst sausage, boiled potatoes with butter and herbs, sautéed carrots and cabbage, pickled radish and red onion, mustard sauce",9.00,Farm to Fork
2026-02-28,Dinner,Beyond Sausage,"Beyond sausage, boiled potatoes with herb, sautéed carrots and cabbage, pickled radish and red onion, creole mustard",8.75,
2026-02-28,Dinner,Roasted Chicken Grain Bowl,"Roasted chicken thigh, quinoa with wild rice and brown rice, snap peas, sweet peppers topped with pickled onions and radish",9.00,"Made without Gluten-Containing Ingredients, Farm to Fork"
2026-02-28,Dinner,Garbanzo Bean Grain Bowl,"Garbanzo beans, quinoa with wild rice and brown rice, snap peas, sweet peppers topped with pickled onions and radish",8.75,"Vegan, Made without Gluten-Containing Ingredients, Farm to Fork"
2026-03-01,Dinner,Smoked Salmon over Wild Rice,"Smoked Salmon, quinoa, wild rice, roasted brussels sprouts, cauliflower, grape tomatoes and cabbage, brown sugar chili vinaigrette",9.25,"Made without Gluten-Containing Ingredients, In Balance, Seafood Watch"
2026-03-01,Dinner,Smoked Tofu over Wild Rice,"Smoked Salmon, quinoa, wild rice, roasted brussels sprouts, cauliflower, grape tomatoes and cabbage, brown sugar chili vinaigrette",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-03-01,Dinner,Slow Roast Pork and Roasted Fall Vegetable,"Slow roast pork shoulder, roasted potatoes, roasted fall squash and apples, cider reduction",9.00,"Made without Gluten-Containing Ingredients, Farm to Fork"
2026-03-01,Dinner,Roasted Portobello and Fall Vegetables,"Portobello mushroom, roasted potatoes, roasted fall squash with apples, cider reduction",8.75,"Vegan, Made without Gluten-Containing Ingredients, Farm to Fork"
2026-03-02,Dinner,Italian Sausage Ragout over Pasta,"Pork sausage, tomatoes, onions, peppers, mushrooms, over penne pasta, parmesan cheese and a side salad with a red wine vinaigrette",9.00,Farm to Fork
2026-03-02,Dinner,Lentil and Oyster Mushroom Ragout,"Lentils, oyster mushrooms tomatoes, onions, peppers, mushrooms, over penne pasta, and a side salad with a red wine vinaigrette",8.75,"Vegan, Farm to Fork"
2026-03-02,Dinner,Citrus Chicken,"Roasted chicken breast over mashed potato and cauliflower  with roasted garlic served with steamed peas & carrots, arugula with lemon dill dressing",9.00,Made without Gluten-Containing Ingredients
2026-03-02,Dinner,Chickpea Tempeh  over Mashed Cauliflower,Lemon and herb chickpea tempeh over mashed potato cauliflower & roasted garlic served with steamed peas & carrots topped with arugula and lemon dill dressing,8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-03-03,Dinner,Chipotle Chicken Bowl,"Chipotle braised chicken, roasted tomato salsa, cotija cheese, sour cream, shredded lettuce, chile roasted vegetables, cilantro rice, black beans",9.00,Farm to Fork
